Partita_IVA;Sede_o_UL;Forma_giuridica;Email;Data_iscrizione;Denominazione;Cap;Comune;Classe_addetti;Telefono;Attivita'_dichiarata;Codice_ateco_principale;Settore_livello_2;Indirizzo_corretto;URL;Keys;Has_contact_form;Available_translations;Facebook;Twitter;Linkedin;Youtube;Pinterest;Instagram
03692970282;SEDE;IMPRESA INDIVIDUALE;;19/05/2004;AGOSTINI ALTIVANO;35010;BORGORICCO;;;COLTIVAZIONI MISTE DI CEREALI E DI ALTRI SEMINATIVI (DAL 26/03/2004);01.11.4;Coltivazione di colture agricole e riproduzione piante;VIA LUSORE, 16, 35010 BORGORICCO PD;;;;;;;;;;
03238010288;SEDE;IMPRESA INDIVIDUALE;;13/03/1997;AGOSTINI LUCA;35010;BORGORICCO;;;LAVORI DI CARPENTERIA (DAL 17.01.2000);01.11.4;Coltivazione di colture agricole e riproduzione piante;VIA DESMAN, 305, 35010 BORGORICCO PD;;;;;;;;;;
05439060285;SEDE;SOCIETA' SEMPLICE;;09/02/2022;AGRIVALE - SOCIETA' SEMPLICE AGRICOLA;35010;BORGORICCO;;;COLTIVAZIONE MISTE CEREALI, LEGUMI DA GRANELLA E SEMI OLEOSI (DAL 31/01/2022);01.11.4;Coltivazione di colture agricole e riproduzione piante;CORSO ITALIA, 26, 35010 BORGORICCO PD;;;;;;;;;;
00747190288;SEDE;SOCIETA' IN NOME COLLETTIVO;ALLEVAMENTOFRANCESCHI@GMAIL.COM;20/02/1978;ALLEVAMENTO FRATELLI FRANCESCHI S.N.C.;35010;BORGORICCO;0-2;049/5798049;;01.46;Allevamento di animali e coltivazioni associate all'allevamento;VIA ROMA, 60, 35010 BORGORICCO PD;;;;;;;;;;
00747190288;UL;SOCIETA' IN NOME COLLETTIVO;ALLEVAMENTOFRANCESCHI@GMAIL.COM;20/02/1978;ALLEVAMENTO FRATELLI FRANCESCHI S.N.C.;35010;BORGORICCO;0-2;049/5798049;ALLEVAMENTO SUINI ED ANIMALI DOMESTICI DA CORTILE IN GENERE (DAL 25/1/1978);01.46;Allevamento di animali e coltivazioni associate all'allevamento;VIA S. ANTONIO, 1/A, 35010 BORGORICCO PD;;;;;;;;;;
04451080289;SEDE;SOCIETA' SEMPLICE;;25/02/2010;AZIENDA AGRICOLA BARDUCA SOCIETA' SEMPLICE AGRICOLA;35010;BORGORICCO;10-49;;COLTIVAZIONE DI ORTAGGI IN COLTURE PROTETTE AD ESCLUSIONE DELLE COLTURE FUORI SUOLO;01.13.29;Coltivazione di colture agricole e riproduzione piante;;;;;;;;;;;
03557830282;SEDE;IMPRESA INDIVIDUALE;;09/01/2008;AZIENDA AGRICOLA BARISON IVO DI BARISON PAOLO;35010;BORGORICCO;0-2;;ALLEVAMENTO AVICOLO;01.5;Allevamento di animali e coltivazioni associate all'allevamento;VIA MORATTI, 1, 35010 BORGORICCO PD;;;;;;;;;;
04543890281;SEDE;SOCIETA' SEMPLICE;;22/02/2011;AZIENDA AGRICOLA LA PALMA S.S. DI FORMENTIN IVANA;35010;BORGORICCO;;;COLTIVAZIONE MISTA DI CEREALI E ALTRI SEMINATIVI;01.11.4;Coltivazione di colture agricole e riproduzione piante;VIA DESMAN, 503, 35010 BORGORICCO PD;;;;;;;;;;
03429470283;SEDE;IMPRESA INDIVIDUALE;;13/05/1999;AZIENDA AGRICOLA RETTORE LUIGI;35010;BORGORICCO;0-2;049/9335364;COLTIVAZIONE DI ORTAGGI (INCLUSI I MELONI) IN FOGLIA, A FUSTO, A FRUTTO, IN RADICI, BULBI E TUBERI IN COLTURE PROTETTE AD ESCLUSIONE DELLE COLTURE FUORI SUOLO (ESCLUSE BARBABIETOLA DA ZUCCHERO E PATATE);01.13.29;Coltivazione di colture agricole e riproduzione piante;VIA CANAREI, 24, 35010 BORGORICCO PD;;;;;;;;;;
02642610287;SEDE;SOCIETA' SEMPLICE;;23/12/1996;AZIENDA AGRICOLA RETTORE SOCIETA' AGRICOLA S. S.;35010;BORGORICCO;10-49;049/9735658;COLTIVAZIONI DI ORTAGGI IN PIENA ARIA.;01.13.1;Coltivazione di colture agricole e riproduzione piante;VIA CANAREI, 24/A, 35010 BORGORICCO PD;;;;;;;;;;
01674770282;SEDE;IMPRESA INDIVIDUALE;;24/10/1996;BALAN ARIELLA;35010;BORGORICCO;0-2;; COLTIVAZIONI MISTE DI CEREALI E ALTRI SEMINATIVI (DAL 01/01/1975);01.11.4;Coltivazione di colture agricole e riproduzione piante;VIA ROMA, 89, 35010 BORGORICCO PD;;;;;;;;;;
00070620281;SEDE;IMPRESA INDIVIDUALE;;23/12/1996;BARISON ANTONIO;35010;BORGORICCO;0-2;049/798238;COLTIVAZIONE DI ORTAGGI IN PIENA ARIA;01.13.1;Coltivazione di colture agricole e riproduzione piante;VIA ROMA, 12, 35010 BORGORICCO PD;;;;;;;;;;
;SEDE;IMPRESA INDIVIDUALE;;16/06/2016;BASSO BRUNO;35010;BORGORICCO;;;COLTIVAZIONE CEREALI;01.11.1;Coltivazione di colture agricole e riproduzione piante;VIA DELLA PIEVE, 18, 35010 BORGORICCO PD;;;;;;;;;;
01331810281;SEDE;IMPRESA INDIVIDUALE;;19/12/1996;BAZZOLO LUIGI;35010;BORGORICCO;0-2;049/9337111;COLTURA FRUTTICOLA DI KIWI E SEMINATIVI;01.2;Coltivazione di colture agricole e riproduzione piante;VIA CORNARA, 11, 35010 BORGORICCO PD;;;;;;;;;;
01547450286;SEDE;IMPRESA INDIVIDUALE;;28/08/1981;BENETTI ARMANDO;35010;BORGORICCO;3-9;049/5798089;COLTIVAZIONI MISTE DI CEREALI E ALTRI SEMINATIVI (DAL 03.04.1995);01.11.4;Coltivazione di colture agricole e riproduzione piante;VIA DESMAN, 16, 35010 BORGORICCO PD;;;;;;;;;;
03538810288;SEDE;IMPRESA INDIVIDUALE;;22/09/2015;BERTIZZOLO MARIA;35010;BORGORICCO;;;COLTIVAZIONI MISTE DI CEREALI E ALTRI SEMINATIVI;01.11.4;Coltivazione di colture agricole e riproduzione piante;VIA LUSORE, 2, 35010 BORGORICCO PD;;;;;;;;;;
04909760284;SEDE;IMPRESA INDIVIDUALE;;22/07/2016;BIOS E' DI GARZARO UMBERTO;35010;BORGORICCO;;;COLTIVAZIONI MISTE DI CEREALI, LEGUMI DA GRANELLA E SEMI OLEOSI (DAL 01.03. 2016);01.11.4;Coltivazione di colture agricole e riproduzione piante;VIA STRAELLE, 11, 35010 BORGORICCO PD;;;;;;;;;;
03343860288;SEDE;IMPRESA INDIVIDUALE;;02/07/1998;BORTOLOZZO MARIA TERESA;35010;BORGORICCO;0-2;;COLTIVAZIONI MISTE DI CEREALI ED ALTRI SEMINATIVI (DAL 2.6.1998) COLTIVAZIONI DI ORTAGGI (DAL 30.12.2006).;01.11.4;Coltivazione di colture agricole e riproduzione piante;VIA CANAREI, 21, 35010 BORGORICCO PD;;;;;;;;;;
04076270281;SEDE;IMPRESA INDIVIDUALE;;14/03/2006;BOTTERO IVANA;35010;BORGORICCO;;;COLTIVAZIONI AGRICOLE ASSOCIATE ALL'ALLEVAMENTO DI ANIMALI (DAL 01.02.2006);01.5;Allevamento di animali e coltivazioni associate all'allevamento;VIA DEI CARRARESI, 1, 35010 BORGORICCO PD;;;;;;;;;;
05414290287;SEDE;IMPRESA INDIVIDUALE;;29/10/2021;BUDICIA DI RIGOBON ANDREA;35010;BORGORICCO;;;COLTIVAZIONE DI ORTAGGI (INCLUSI I MELONI) IN FOGLIA, A FUSTO, A FRUTTO, IN RADICI, BULBI E TUBERI IN PIENA ARIA (ESCLUSE BARBABIETOLA DA ZUCCHERO E PATATE);01.13.1;Coltivazione di colture agricole e riproduzione piante;VIA DELL'INDUSTRIA, 14, 35010 BORGORICCO PD;;;;;;;;;;
02176340285;SEDE;IMPRESA INDIVIDUALE;;23/12/1996;CACCIN GALDINO;35010;BORGORICCO;0-2;;COLTIVAZIONI MISTE DI CEREALI E ALTRI SEMINATIVI;01.11.4;Coltivazione di colture agricole e riproduzione piante;VIA LOVARA, 109, 35010 BORGORICCO PD;;;;;;;;;;
03938380288;SEDE;IMPRESA INDIVIDUALE;;04/08/2004;CAIMI GHARY;35010;BORGORICCO;0-2;;COLTIVAZIONE DI FUNGHI IN SERRA E COLTIVAZIONI MISTE DI CEREALI ED ALTRI SEMINATIVI (DAL 27.07.2004);01.13.2;Coltivazione di colture agricole e riproduzione piante;VIA DESMAN, 284, 35010 BORGORICCO PD;;;;;;;;;;
01615610282;SEDE;IMPRESA INDIVIDUALE;;13/12/1996;CAMPELLO BERTILLA;35010;BORGORICCO;0-2;049/5798633;COLTIVAZIONI MISTE DI CEREALI E ALTRI SEMINATIVI;01.11.4;Coltivazione di colture agricole e riproduzione piante;VIA PELOSA, 21, 35010 BORGORICCO PD;;;;;;;;;;
00750870289;SEDE;IMPRESA INDIVIDUALE;;20/01/1997;CAMPIGOTTO DIEGO;35010;BORGORICCO;0-2;0333/2796086;COLTIVAZIONI MISTE DI CEREALI E ALTRI SEMINATIVI (DAL 04.11.1996);01.1;Coltivazione di colture agricole e riproduzione piante;VIA PELOSA, 164, 35010 BORGORICCO PD;;;;;;;;;;
02650230283;SEDE;IMPRESA INDIVIDUALE;;23/12/1996;CARRARO CHIARA;35010;BORGORICCO;0-2;;COLTIVAZIONI DI CEREALI;01.11.4;Coltivazione di colture agricole e riproduzione piante;VIA P.M.VEDOVATO, 17, 35010 BORGORICCO PD;;;;;;;;;;
04901550287;SEDE;IMPRESA INDIVIDUALE;;24/03/1969;CARRARO EUGENIO;35010;BORGORICCO;0-2;049/5798174;COLTIVAZIONI MISTE DI CEREALI E ALTRI SEMINATIVI (DAL 01/01/1973);01.11.4;Coltivazione di colture agricole e riproduzione piante;VIA DESMAN, 98, 35010 BORGORICCO PD;;;;;;;;;;
03849410281;SEDE;IMPRESA INDIVIDUALE;;09/10/2003;CARRARO FLAVIO;35010;BORGORICCO;0-2;; CREAZIONE E MANUTENZIONE DI GIARDINI E PRATI (DAL 15.09.2003);01.6;Attività di supporto all'agricoltura e alla caccia;VIA SANT'ANTONIO, 1/1, 35010 BORGORICCO PD;;;;;;;;;;
04583200284;SEDE;IMPRESA INDIVIDUALE;;25/07/2011;CAVINATO FERDINANDA;35010;BORGORICCO;;;COLTIVAZIONI MISTE DI CEREALI ED ALTRI SEMINATIVI (DAL 04/07/2011);01.11.4;Coltivazione di colture agricole e riproduzione piante;VIA FRATTINA, 1, 35010 BORGORICCO PD;;;;;;;;;;
00137830287;SEDE;IMPRESA INDIVIDUALE;;13/12/1996;COLETTO AGOSTINO;35010;BORGORICCO;0-2;;COLTIVAZIONI MISTE DI CEREALI A ALTRI SEMINATIVI;01.11.4;Coltivazione di colture agricole e riproduzione piante;VIA PELOSA, 45, 35010 BORGORICCO PD;;;;;;;;;;
02658790288;SEDE;IMPRESA INDIVIDUALE;;23/12/1996;FABBRIS ANNA;35010;BORGORICCO;;049/5798202;COLTIVAZIONI DI PIANTE DA VIVAIO;01.13.1;Coltivazione di colture agricole e riproduzione piante;VIA DESMAN, 216, 35010 BORGORICCO PD;;;;;;;;;;
05102240289;SEDE;IMPRESA INDIVIDUALE;;20/02/2018;FANTINATO LUCIA;35010;BORGORICCO;0-2;;ATTIVITA' DI SUPPORTO ALLA PRODUZIONE VEGETALE;01.61;Attività di supporto all'agricoltura e alla caccia;VIA CANAREI, 18/A, 35010 BORGORICCO PD;;;;;;;;;;
00921400289;SEDE;IMPRESA INDIVIDUALE;;18/12/1996;FASOLATO SERGIO;35010;BORGORICCO;0-2;049/5797850;ALLEVAMENTO DI BOVINI E PRODUZIONE DI LATTE;01.5;Allevamento di animali e coltivazioni associate all'allevamento;VIA STRAELLE, 3, 35010 BORGORICCO PD;;;;;;;;;;
02649130289;SEDE;IMPRESA INDIVIDUALE;;25/01/1996;FASOLO GREGORIO;35010;BORGORICCO;0-2;;ESERCIZIO DI MACCHINE AGRICOLE SVOLTO PER CONTO TERZI;01.61;Attività di supporto all'agricoltura e alla caccia;VIA CANAREI, 21, 35010 BORGORICCO PD;;;;;;;;;;
04525140283;SEDE;SOCIETA' SEMPLICE;;14/01/2011;FLORICOLTURA GUION SOCIETA' AGRICOLA DI GUION MARTINA E GUION MATTEO S.S.;35010;BORGORICCO;0-2;;COLTIVAZIONE DI FIORI IN COLTURE PROTETTE;01.19.2;Coltivazione di colture agricole e riproduzione piante;VIA ROMA, 163, 35010 BORGORICCO PD;;;;;;;;;;
01627400284;SEDE;IMPRESA INDIVIDUALE;;18/12/1996;FRANCESCHINI GIROLAMO;35010;BORGORICCO;;;COLTIVAZIONI DI TABACCO;01.15;Coltivazione di colture agricole e riproduzione piante;VIA S.ANTONIO, 7, 35010 BORGORICCO PD;;;;;;;;;;
01193310289;SEDE;IMPRESA INDIVIDUALE;;18/12/1996;FRANCESCHINI PIETRO;35010;BORGORICCO;0-2;;ALLEVAMENTO DI BOVINI E PRODUZIONE DI LATTE;01.5;Allevamento di animali e coltivazioni associate all'allevamento;VIA S.ANTONIO, 7, 35010 BORGORICCO PD;;;;;;;;;;
04481450288;SEDE;IMPRESA INDIVIDUALE;;14/05/2010;FRASSON FLAVIO;35010;BORGORICCO;;;COLTIVAZIONI MISTE DI CEREALI;01.11.1;Coltivazione di colture agricole e riproduzione piante;VIA LOVARA, 103/A, 35010 BORGORICCO PD;;;;;;;;;;
01195300288;SEDE;IMPRESA INDIVIDUALE;;18/12/1996;FURLANETTO VALTER;35010;BORGORICCO;;;ALLEVAMENTO BOVINI E BUFALINI , PRODUZIONE LATTE CRUDO;01.41;Allevamento di animali e coltivazioni associate all'allevamento;VIA PELOSA, 110, 35010 BORGORICCO PD;;;;;;;;;;
