Partita_IVA;Sede_o_UL;Forma_giuridica;Email;Data_iscrizione;Denominazione;Cap;Comune;Classe_addetti;Telefono;Attivita'_dichiarata;Codice_ateco_principale;Settore_livello_2;Indirizzo_corretto;URL;Keys;Has_contact_form;Available_translations;Facebook;Twitter;Linkedin;Youtube;Pinterest;Instagram
03465830275;SEDE;SOCIETA' IN ACCOMANDITA SEMPLICE;;16/03/2015;BAR 31 SAS DI MASOLA NATALIA & C.;35010;BORGORICCO;0-2;;SOMMINISTRAZIONE DI ALIMENTI E BEVANDE: BAR;56.3;Bar e altri esercizi simili senza cucina;VIA STRAELLE, 47, 35010 BORGORICCO PD;;;;;;;;;;
05143540283;SEDE;IMPRESA INDIVIDUALE;;07/06/2018;BAR CENTRALE DI GAO JIAN;35010;BORGORICCO;0-2;;BAR E CAFFE';56.3;Bar e altri esercizi simili senza cucina;VIA SAN LEONARDO, 17, 35010 BORGORICCO PD;;;;;;;;;;
04807300282;SEDE;IMPRESA INDIVIDUALE;;07/04/2014;BASSO LORENZA - BAR L'INCONTRO;35010;BORGORICCO;0-2;;BAR;56.3;Bar e altri esercizi simili senza cucina;VIA DELLA PIEVE, 57/61, 35010 BORGORICCO PD;;;;;;;;;;
04509320281;UL;SOCIETA' IN NOME COLLETTIVO;;06/09/2012;BERTI S.N.C. DI BERTI DAVIDE E C.;35010;BORGORICCO;3-9;;RISTORANTE, PIZZERIA, BAR (DAL 06/09/2012);56.10.11;Ristoranti e attività di ristorazione mobile;VIA PELOSA, 57, 35010 BORGORICCO PD;;;;;;;;;;
04180390272;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;08/07/2015;BREAKFAST CLUB S.R.L.;35010;BORGORICCO;10-49;;CATERING CONTINUATIVO SU BASE CONTRATTUALE ULTERIORI SPECIFICHE: AFFIDAMENTO IN GESTIONE SERVIZIO DI SOMMINISTRAZIONE DI ALIMENTI E BEVANDE PER GLI OSPITI DELL'ALBERGO - SERVIZIO COLAZIONI;56.29.2;Fornitura di pasti preparati (catering e mense);VIA MUSSOLINI, 3, 35010 BORGORICCO PD;https://www.breakfastclub.it/;breakfast, club, vision, locations, profile, hotel, management, service, morning, legali, uscita, work, food, sitemap, carriere, careers, colazione, punti, room, grado, prodotti, specialized, market, alberghiera, profonda, breakfast club, careers work, food morning, colazione alberghiera, breakfast room;True;en, it;http://www.facebook.com/sharer.php?u=https://www.breakfastclub.it/&t=Italiano;http://twitter.com/share?text=Italiano&url=https%3A%2F%2Fwww.breakfastclub.it%2F;http://www.linkedin.com/shareArticle?mini=true&url=https://www.breakfastclub.it/&title=Italiano;;;
04565930288;SEDE;IMPRESA INDIVIDUALE;;31/05/2011;CARRARO GIACOMO;35010;BORGORICCO;3-9;;PRODUZIONE DI PRODOTTI DI PASTICCERIA, DA FORNO E PRODOTTI DOLCIARI, PRODUZIONE DI PASTICCERIA FRESCA. ULTERIORI SPECIFICHE: PRODUZIONE DI PASTICCERIA FRESCA, DI PRODOTTI DA FORNO E PRODOTTI DOLCIARI IN GENERE.;56.10.3;Ristoranti e attività di ristorazione mobile;PIAZZA MUNICIPIO, 2, 35010 BORGORICCO PD;;;;;;;;;;
05296360281;SEDE;SOCIETA' IN NOME COLLETTIVO;;12/06/2020;CENTOCINQUE BPM S.N.C. DI MINOZZO ANDREA E C.;35010;BORGORICCO;3-9;;BAR E ALTRI ESERCIZI SIMILI SENZA CUCINA;56.3;Bar e altri esercizi simili senza cucina;VIALE EUROPA, 8, 35010 BORGORICCO PD;;;;;;;;;;
05296360281;UL;SOCIETA' IN NOME COLLETTIVO;;16/07/2020;CENTOCINQUE BPM S.N.C. DI MINOZZO ANDREA E C.;35010;LOREGGIA;3-9;;BAR E ALTRI ESERCIZI SIMILI SENZA CUCINA (DAL 17/07/2020);56.3;Bar e altri esercizi simili senza cucina;VIA ROMA, 35, 35010 LOREGGIA PD;;;;;;;;;;
00090160284;SEDE;IMPRESA INDIVIDUALE;;07/12/1993;CESARO ZITA;35010;BORGORICCO;;;ATTIVITA': BAR (DAL 27.05.1993);56.3;Bar e altri esercizi simili senza cucina;VIA DELLA PIEVE, 66, 35010 BORGORICCO PD;;;;;;;;;;
04608210284;SEDE;SOCIETA' IN NOME COLLETTIVO;;27/12/2011;DHAKA .R. KABAB S.N.C. DI KARIM REZAUL & C.;35010;BORGORICCO;0-2;;PRODUZIONE DI KEBAB PER ASPORTO;56.10.2;Ristoranti e attività di ristorazione mobile;VIA ROMA, 67/C, 35010 BORGORICCO PD;;;;;;;;;;
02459540270;SEDE;IMPRESA INDIVIDUALE;;03/04/2000;DOLCE GELATO DI ZURINI MAURIZIO;35010;BORGORICCO;10-49;;PRODUZIONE DI GELATI (DAL 15/03/2000);56.10.3;Ristoranti e attività di ristorazione mobile;VIA MUSSOLINI, 3, 35010 BORGORICCO PD;;;;;;;;;;
04907550281;SEDE;SOCIETA' IN NOME COLLETTIVO;;10/06/2015;DRUGO ROCK PUB SNC DI FREGONESE MASSIMO;35010;BORGORICCO;3-9;;BAR E ALTRI ESERCIZI SIMILI SENZA CUCINA;56.3;Bar e altri esercizi simili senza cucina;VIA PELOSA, 11, 35010 BORGORICCO PD;;;;;;;;;;
03348380282;SEDE;SOCIETA' IN NOME COLLETTIVO;;31/07/1998;DUEPI DI PALIURI ACHILLE & ANTONELLA S.N.C.;35010;BORGORICCO;0-2;049/5798428;;56.3;Bar e altri esercizi simili senza cucina;VIA CARBONARA, 38, 35010 BORGORICCO PD;;;;;;;;;;
03348380282;UL;SOCIETA' IN NOME COLLETTIVO;;03/06/2004;DUEPI DI PALIURI ACHILLE & ANTONELLA S.N.C.;35010;BORGORICCO;0-2;;BAR (DAL 03/06/2004);56.3;Bar e altri esercizi simili senza cucina;VIA DESMAN, 336/B, 35010 BORGORICCO PD;;;;;;;;;;
05038690284;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;;14/02/2017;ELLEGI SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;35010;BORGORICCO;0-2;;BAR SOMMINISTRAZIONE ALIMENTI E BEVANDE, (DAL 10/03/2017);56.3;Bar e altri esercizi simili senza cucina;VIA SAN LEONARDO, 32, 35010 BORGORICCO PD;;;;;;;;;;
03264560289;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;17/10/1997;FIESTA S.R.L.;35010;BORGORICCO;3-9;049/9302588;;56.10.11;Ristoranti e attività di ristorazione mobile;VIA DELLA PIEVE, 6, 35010 BORGORICCO PD;;;;;;;;;;
03264560289;UL;SOCIETA' A RESPONSABILITA' LIMITATA;;28/10/1998;FIESTA S.R.L.;35012;CAMPOSAMPIERO;3-9;049/9302588;DISCO-BAR: PANINOTECA CON ASCOLTO DI MUSICA (DAL 28/10/1998);56.10.11;Ristoranti e attività di ristorazione mobile;VIA STRAELLE DI RUSTEGA, 22, 35012 CAMPOSAMPIERO PD;;;;;;;;;;
04768510283;SEDE;IMPRESA INDIVIDUALE;;13/11/2013;FREEDOM DI NOGHEROTTO ENRICO;35010;BORGORICCO;0-2;;CLASSIFICAZIONE ISTAT: BAR E ALTRI ESERCIZI SIMILI SENZA CUCINA ULTERIORI SPECIFICHE: BAR;56.3;Bar e altri esercizi simili senza cucina;VIA DELLA PIEVE, 94/B, 35010 BORGORICCO PD;;;;;;;;;;
04179680287;SEDE;IMPRESA INDIVIDUALE;;30/11/2007;GASPARINI IVO;35010;BORGORICCO;3-9;;BAR E CAFFE' (ATTIVITA' SVOLTA PRESSO UNITA' LOCALE);56.3;Bar e altri esercizi simili senza cucina;VIA ROMA, 19, 35010 BORGORICCO PD;;;;;;;;;;
