Partita_IVA;Sede_o_UL;Forma_giuridica;Email;Data_iscrizione;Denominazione;Cap;Comune;Classe_addetti;Telefono;Attivita'_dichiarata;Codice_ateco_principale;Settore_livello_2;Indirizzo_corretto;URL;Keys;Has_contact_form;Available_translations;Facebook;Twitter;Linkedin;Youtube;Pinterest;Instagram
02364470282;SEDE;SOCIETA' IN ACCOMANDITA SEMPLICE;;03/04/1990;4 B S.A.S. DI BECCEGATO L. & C.;35010;BORGORICCO;10-49;0423/480077;;47.11.2;Commercio al dettaglio in esercizi non specializzati (supermercati e grandi magazzini);VIA STRAELLE, 107, 35010 BORGORICCO PD;;;;;;;;;;
02364470282;UL;SOCIETA' IN ACCOMANDITA SEMPLICE;;27/11/1995;4 B S.A.S. DI BECCEGATO L. & C.;35010;MASSANZAGO;10-49;049/9360140;COMMERCIO AL DETTAGLIO DI PRODOTTI ALIMENTARI, COMPRESO ERBORISTERIA E DROGHERIA (DAL 27/11/1995);47.11.2;Commercio al dettaglio in esercizi non specializzati (supermercati e grandi magazzini);VIA ROMA, 80, 35010 MASSANZAGO PD;;;;;;;;;;
04460450283;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;03/03/2010;5M SRL - IN  LIQUIDAZIONE;35010;BORGORICCO;3-9;;COMMERCIO ALL'INGROSSO DI ARTICOLI DI PELLETTERIA E DA VIAGGIO;46.49.5;Altre attività di commercio all'ingrosso;VIA DELLA PIEVE, 75/A, 35010 BORGORICCO PD;;;;;;;;;;
01353220286;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;11/05/1987;AGRICOLA CARRARO S.R.L.;35010;BORGORICCO;0-2;041/442300;COMMERCIO ALL'INGROSSO DI CEREALI NON DESTINATI ALL'ALIMENTAZIONE UMANA (DAL 01/11/2004);46.21;Altre attività di commercio all'ingrosso;VIA LOVARA, 80, 35010 BORGORICCO PD;;;;;;;;;;
01011270285;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;06/11/1981;AGRILUCE S.R.L.;35010;BORGORICCO;3-9;049/9301655;COMMERCIO ALL'INGROSSO DI PRODOTTI ALIMENTARI (DAL 11.6.2001);46.32.1;Altre attività di commercio all'ingrosso;VIA STRAELLE, 43, 35010 BORGORICCO PD;http://www.agriluce.com/;prodotti, agriluce, carni, impegno, secchi, mense, giochi, ricette, principale, bianche, pollo, profilo, condimenti, pasta, primi, pesce, rosse, surgelato, riso, formaggi, salumi, verdure, scatolame, surgelate, ristorazione, carni bianche, pesce surgelato, scatolame prodotti, verdure surgelate, pasta riso;;it;;;;;;
05249300285;SEDE;IMPRESA INDIVIDUALE;;31/10/2019;AL GROUP DI LONGO ANDREA;35010;BORGORICCO;0-2;;COMMERCIO AL DETTAGLIO DI ACCESSORI CUCINA,  ACCESSORI MODA, OGGETTI PER LA CASA, ACCESSORI GIARDINO, ACCESSORI AUTO, EFFETTUATO VIA INTERNET;47.91.1;Altre attività di commercio al dettaglio;VIA CORSO ITALIA, 12/2, 35010 BORGORICCO PD;;;;;;;;;;
00348980285;UL;SOCIETA' PER AZIONI CON SOCIO UNICO;INFO@ALISPA.COM;10/10/1973;ALI' S.P.A.;35011;CAMPODARSEGO;250+;049/5566420;COMMERCIO AL MINUTO GENERI ALIMENTARI (DAL 27.11.1986), VENDITA AL MINUTO DI PERIODICI (DAL 18/11/2005);47.11.2;Commercio al dettaglio in esercizi non specializzati (supermercati e grandi magazzini);VIA ANTONIANA, 126/A, 35011 CAMPODARSEGO PD;https://www.alisupermercati.it/;veneto, padova, punti, negozi, fattura, modello, offerte, prodotti, lotteria, love, ricette, nature, gratis, euro, scontrini, numero, prenota, unico, produttori, entra, legali, libri, organizzazione, candidati, magazine, padova veneto, love nature, lotteria scontrini, socio unico, prenota libri;True;tl, en, it;https://it-it.facebook.com/alisupermercati;http://twitter.com/alisupermercati;https://www.linkedin.com/company/alisupermercati;https://www.youtube.com/alisupermercati;;https://www.instagram.com/alisupermercati
00348980285;UL;SOCIETA' PER AZIONI CON SOCIO UNICO;INFO@ALISPA.COM;08/06/1995;ALI' S.P.A.;35010;BORGORICCO;250+;;COMMERCIO AL MINUTO DI GENERI ALIMENTARI (DAL 08.06.1995);47.11.2;Commercio al dettaglio in esercizi non specializzati (supermercati e grandi magazzini);VIA ROMA, 51, 35010 BORGORICCO PD;https://www.alisupermercati.it/;veneto, padova, punti, negozi, fattura, modello, offerte, love, prodotti, lotteria, nature, ricette, gratis, scontrini, prenota, euro, unico, entra, numero, produttori, magazine, socio, organizzazione, esercizio, legali, padova veneto, love nature, lotteria scontrini, negozi offerte, modello esercizio;True;tl, en, it;https://it-it.facebook.com/alisupermercati;http://twitter.com/alisupermercati;https://www.linkedin.com/company/alisupermercati;https://www.youtube.com/alisupermercati;;https://www.instagram.com/alisupermercati
00348980285;UL;SOCIETA' PER AZIONI CON SOCIO UNICO;INFO@ALISPA.COM;20/01/2000;ALI' S.P.A.;35010;MASSANZAGO;250+;;COMMERCIO AL DETTAGLIO DI PRODOTTI ALIMENTARI E NON (DAL 20/01/2000);47.11.4;Commercio al dettaglio in esercizi non specializzati (supermercati e grandi magazzini);VIA ROMA, 31, 35010 MASSANZAGO PD;https://www.alisupermercati.it/;veneto, padova, punti, negozi, fattura, modello, offerte, lotteria, prodotti, love, nature, ricette, gratis, scontrini, euro, unico, produttori, prenota, numero, entra, esercizio, libri, magazine, candidati, socio, padova veneto, love nature, lotteria scontrini, modello esercizio, unico euro;True;tl, en, it;https://it-it.facebook.com/alisupermercati;http://twitter.com/alisupermercati;https://www.linkedin.com/company/alisupermercati;https://www.youtube.com/alisupermercati;;https://www.instagram.com/alisupermercati
04100970286;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA CON UNICO SOCIO;;04/04/2006;B & G S.R.L.;35010;BORGORICCO;0-2;;COMMERCIO ALL'INGROSSO DI PRODOTTI SIDERURGICI E METALI IN GENERE (DAL 12.01.2007);46.72.1;Altre attività di commercio all'ingrosso;VIA MOMETTO, 10, 35010 BORGORICCO PD;;;;;;;;;;
00779420280;SEDE;SOCIETA' IN NOME COLLETTIVO;;08/06/1978;BA.CU.PA S.N.C. DI CURTAROLO GABRIELLA E PATTARO IVANA -;35010;BORGORICCO;3-9;049/9335577;ATTIVITA' ESERCITATA: COMMERCIO ALL'INGROSSO ARTICOLI PER LA PULIZIA E L'IGIENE DELLA CASA (DAL 3.5.1978);46.44.3;Altre attività di commercio all'ingrosso;;;;;;;;;;;
01359860283;SEDE;IMPRESA INDIVIDUALE;;06/04/1987;BAGGIO FEDERICO;35010;BORGORICCO;0-2;049/9335567; AGENTE DI COMMERCIO PER LA VENDITA DI PRODOTTI DI CARTOLIBRERIA (DAL 15/04/1993);46.18;Altre attività di commercio all'ingrosso;VIA A MANTEGNA, 3-A, 35010 BORGORICCO PD;;;;;;;;;;
05008130287;SEDE;IMPRESA INDIVIDUALE;;26/06/2017;BARICHELLA CHIARA;35010;BORGORICCO;0-2;;AGENTE / RAPPRESENTANTE DI APPARECCHI ELETTRODOMESTICI;46.18.22;Altre attività di commercio all'ingrosso;PIAZZETTA RUZZANTE, 6, 35010 BORGORICCO PD;;;;;;;;;;
03289550281;SEDE;SOCIETA' IN NOME COLLETTIVO;;02/02/1998;BELLINA S.N.C. DI ZORZI CLAUDIA E FLAVIA;35010;BORGORICCO;0-2;049/5798071;COMMERCIO AL MINUTO DI ABBIGLIAMENTO E DI BIGIOTTERIA (DAL 10.02.1998);47.71.1;Altre attività di commercio al dettaglio;VIA DESMAN, 255, 35010 BORGORICCO PD;;;;;;;;;;
04478180286;SEDE;IMPRESA INDIVIDUALE;;19/05/2010;BERNARDI STEFANO;35010;BORGORICCO;0-2;;AGENTE DI COMMERCIO PER LA VENDITA DI CALZATURE ED ACCESSORI;46.16.05;Altre attività di commercio all'ingrosso;VIA CROCE RUZZA, 1, 35010 BORGORICCO PD;;;;;;;;;;
04330310287;SEDE;IMPRESA INDIVIDUALE;;02/03/2009;BERTO ANTONELLA;35010;BORGORICCO;0-2;;RIVENDITA GENERI DI MONOPOLIO (DAL 12/02/2009);47.26;Altre attività di commercio al dettaglio;VIA ROMA, 67B, 35010 BORGORICCO PD;;;;;;;;;;
05330700286;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;09/12/2020;BIANCHI INGROSSO SRL;35010;BORGORICCO;3-9;;COMMERCIO ALL'INGROSSO DI DETERGENTI, ARTICOLI E MATERIALI PER LA PULIZIA E L'IGENE IN GENERE.;46.44.3;Altre attività di commercio all'ingrosso;VIA DESMAN, 503, 35010 BORGORICCO PD;;;;;;;;;;
01299660280;SEDE;SOCIETA' IN NOME COLLETTIVO;;09/10/1992;BORDIN EMANUELE DI BORDIN GIOVANNI E F.LLI S.N.C.;35010;BORGORICCO;0-2;049/9335155;ATTIVITA': COMMERCIO AL MINUTO DI ACCESSORI DI ABBIGLIAMENTO E BIANCHE- RIA INTIMA, ARTICOLI PER LA PULIZIA DELLA CASA E IGIENE DELLA PERSONA, PRODOTTI TESSILI DI QUALUNQUE TIPO E PREGIO COMPRESI QUELLI PER L'ARREDAMENTO (DAL 10.9.1992);47.51;Altre attività di commercio al dettaglio;VIA ROMA, 113, 35010 BORGORICCO PD;;;;;;;;;;
05250330288;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;;29/10/2019;BORGOPLAST SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;35012;CAMPOSAMPIERO;0-2;;COMMERCIO ALL'INGROSSO DI GRANULI PLASTICI E MATERIALI PLASTICI VARI.;46.76.2;Altre attività di commercio all'ingrosso;PIAZZA VITTORIA, 6/4, 35012 CAMPOSAMPIERO PD;;;;;;;;;;
