Partita_IVA;Sede_o_UL;Forma_giuridica;Email;Data_iscrizione;Denominazione;Cap;Comune;Classe_addetti;Telefono;Attivita'_dichiarata;Codice_ateco_principale;Settore_livello_2;Indirizzo_corretto;URL;Keys;Has_contact_form;Available_translations;Facebook;Twitter;Linkedin;Youtube;Pinterest;Instagram
05180970286;SEDE;SOCIETA' IN ACCOMANDITA SEMPLICE;;24/01/2019;11N SAS DI BEZEDE FLORIN DANIEL E C.;35010;BORGORICCO;0-2;;ATTIVITA' NON SPECIALIZZATE DI LAVORI EDILI (MURATORI) (DAL 11/01/2019);43.39.01;Lavori di costruzione specializzati;VIA FRATTINA, 17/8, 35010 BORGORICCO PD;;;;;;;;;;
04260330289;SEDE;IMPRESA INDIVIDUALE;;26/03/2008;2 EMME ELETTRIK DI MOMETTO MIRKO;35010;BORGORICCO;3-9;; INSTALLAZIONE, AMPLIAMENTO, TRASFORMAZIONE, MANUTENZIONE DEGLI IMPIANTI SOTTOSPECIFICATI: - LETT. A): IMPIANTI DI PRODUZIONE, DI TRASPORTO, DI DISTRIBUZIONE E DI UTILIZZAZIONE DELL'ENERGIA ELETTRICA ALL'INTERNO DEGLI EDIFICI A PARTIRE DAL PUNTO DI CONSEGNA DELL'ENERGIA FORNITA DALL'ENTE DISTRIBUTORE (IN EDIFICI ADIBITI AD USO CIVILE ED IMMOBILI ADIBITI AD ATTIVITA' PRODUTTIVE, AL COMMERCIO, AL TERZIARIO E AD ALTRI USI), - LETT. B): IMPIANTI RADIOTELEVISIVI ED ELETTRONICI IN GENERE, ANTENNE, IMPIANTI DI PROTEZIONE DA SCARICHE ATMOSFERICHE, - LETT. G): IMPIANTI DI PROTEZIONE ANTINCENDIO (DAL 29/01/2008);43.21.01;Lavori di costruzione specializzati;VIA DESMAN, 329/A, 35010 BORGORICCO PD;;;;;;;;;;
02520450285;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;12/03/1992;956 GROUP S.R.L.;35012;CAMPOSAMPIERO;0-2;049/9336186;INSTALLAZIONE IMPIANTI ELETTRICI CIVILI ED INDUSTRIALI COMPRESA LA MANUTENZIONE, LA SOSTITUZIONE E L'AMMODERNAMENTO  DEGLI STESSI (DAL 01.01.1993). COMMERCIO ALL'INGROSSO DI MATERIALE ELETTRICO (DAL 10.2.1998);43.21;Lavori di costruzione specializzati;VIA VIVALDI, 1, 35012 CAMPOSAMPIERO PD;;;;;;;;;;
05309140282;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;01/09/2020;ABITARTE S.R.L.;35010;BORGORICCO;;;COSTRUZIONE DI EDIFICI RESIDENZIALI E NON RESIDENZIALI;41.2;Costruzione di edifici;CORSO ITALIA, 9/2, 35010 BORGORICCO PD;https://www.abitartesrl.it/;abitarte, muson, borgoricco, biville, antico, progetti, scrivici, chiamaci, casa, interior, design, chiedi, piacciono, vieni, splendide, padova, scoprire, alto, piano, energetico, regola, sogni, arte, affida, ufficio, antico muson, biville antico, interior design, splendide biville, vieni scoprire;False;it;https://www.facebook.com/abitarte.srl;;;;;https://www.instagram.com/abitarte.srl/
04329770285;SEDE;IMPRESA INDIVIDUALE;;26/07/2010;A.D.M. GROUP COSTRUZIONI DI SOI MAURO;35010;BORGORICCO;10-49;;COSTRUZIONE DI EDIFICI RESIDENZIALI E NON RESIDENZIALI, LAVORI DI ISOLAMENTO TERMICO,ACUSTICO E ANTIVIBRANTE, REALIZZAZIONE COPERTURE.;41.2;Costruzione di edifici;VIA PELOSA, 154, 35010 BORGORICCO PD;;;;;;;;;;
05088050280;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;;11/10/2017;ARIETE D.S. SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;35010;BORGORICCO;3-9;;INSTALLAZIONE, AMPLIAMENTO, TRASFORMAZIONE, MANUTENZIONE DEGLI IMPIANTI SOTTOSPECIFICATI, POSTI AL SERVIZIO DEGLI EDIFICI, INDIPENDENTEMENTE DALLA DESTINAZIONE D'USO, COLLOCATI ALL'INTERNO DEGLI STESSI O DELLE RELATIVE PERTINENZE D.M. 37/08: - (LETT.A): IMPIANTI DI PRODUZIONE, TRASFORMAZIONE, TRASPORTO, DISTRIBUZIONE, UTILIZZAZIONE DELL'ENERGIA ELETTRICA, NONCHE' GLI IMPIANTI PER L'AUTOMAZIONE DI PORTE, CANCELLI E BARRIERE;43.21.01;Lavori di costruzione specializzati;VIA PELOSA, 142, 35010 BORGORICCO PD;;;;;;;;;;
05448500289;SEDE;IMPRESA INDIVIDUALE;;09/03/2022;ARTSTYLE DI POPA ALIN CATALIN;35010;BORGORICCO;;;POSA IN OPERA DI INFISSI, ARREDI, CONTROSOFFITTI, PARETI MOBILI E SIMILI;43.32.02;Lavori di costruzione specializzati;CORSO ITALIA, 10/G, 35010 BORGORICCO PD;;;;;;;;;;
04165290281;SEDE;IMPRESA INDIVIDUALE;;05/02/2007;BENEDILE DI LEKA ARBEN;35010;BORGORICCO;0-2;; IMPRESA EDILE (DAL 11.01.2007);41.2;Costruzione di edifici;VIA DELLA PIEVE, 94/C, 35010 BORGORICCO PD;;;;;;;;;;
05439030288;SEDE;IMPRESA INDIVIDUALE;;02/02/2022;BEST MONTAGGI DI BEATRICE MELANDRI;35010;BORGORICCO;;;MONTAGGIO MOBILI;43.32.02;Lavori di costruzione specializzati;VIALE EUROPA, 8, 35010 BORGORICCO PD;;;;;;;;;;
04804560284;SEDE;IMPRESA INDIVIDUALE;;18/04/2014;BOLDRIN FABRIZIO;35010;BORGORICCO;0-2;;ATTIVITA' NON SPECIALIZZATA DI LAVORI EDILI (MURATORI);43.39.01;Lavori di costruzione specializzati;VIA GAFFARELLO, 28, 35010 BORGORICCO PD;;;;;;;;;;
05365270288;SEDE;IMPRESA INDIVIDUALE;;19/04/2021;BOTTER ANTONIO;35010;BORGORICCO;;;POSA IN OPERA DI INFISSI, ARREDI, CONTROSOFFITTI, PARETI MOBILI E SIMILI;43.32.02;Lavori di costruzione specializzati;VIA PAPA LUCIANI, 16, 35010 BORGORICCO PD;;;;;;;;;;
01829190287;SEDE;IMPRESA INDIVIDUALE;;24/05/1985;BRAGAGNOLO RENZO;35010;BORGORICCO;0-2;;IMBIANCHINO (DAL 08.09.1994).;43.31;Lavori di costruzione specializzati;VIA CORNARA, 14, 35010 BORGORICCO PD;;;;;;;;;;
03950210280;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;21/10/2004;BRAGAGNOLO S.R.L.;35010;BORGORICCO;50-249;;COSTRUZIONE E MANUTENZIONE DI PUNTI VENDITA DI CARBURANTI;43.99.09;Lavori di costruzione specializzati;VIA CORNARA, 15/C, 35010 BORGORICCO PD;https://bragagnolosrl.it/;aggiornamenti, bragagnolo, article, modifiche, unico, legislativo, certificazioni, codice, impianto, consent, essential, stored, functionalities, function, dichiarazione, mud, modello, proroga, ambientali, gestori, ambientale, modificato, covid, published, impianti, modifiche legislativo, unico dichiarazione, modello unico, gestori ambientali, dichiarazione ambientale;True;en, it;;;;https://www.youtube.com/watch?v=ssBaato76t8&t=65s;;
03950210280;UL;SOCIETA' A RESPONSABILITA' LIMITATA;;01/06/2005;BRAGAGNOLO S.R.L.;35010;MASSANZAGO;50-249;;;43.99.09;Lavori di costruzione specializzati;VIA DELL'ARTIGIANATO, 28, 35010 MASSANZAGO PD;https://bragagnolosrl.it/;aggiornamenti, bragagnolo, article, modifiche, unico, legislativo, certificazioni, codice, impianto, stored, consent, essential, function, functionalities, dichiarazione, mud, modello, ambientali, proroga, gestori, ambientale, modificato, covid, published, previous, modifiche legislativo, modello unico, unico dichiarazione, gestori ambientali, dichiarazione ambientale;True;en, it;;;;https://www.youtube.com/watch?v=ssBaato76t8&t=65s;;
03950210280;UL;SOCIETA' A RESPONSABILITA' LIMITATA;;10/03/2017;BRAGAGNOLO S.R.L.;35010;BORGORICCO;50-249;;;43.99.09;Lavori di costruzione specializzati;VIA CORNARA, 31/B, 35010 BORGORICCO PD;https://bragagnolosrl.it/;aggiornamenti, bragagnolo, article, modifiche, unico, legislativo, certificazioni, codice, impianto, stored, consent, essential, function, functionalities, dichiarazione, mud, modello, ambientali, proroga, gestori, ambientale, modificato, covid, published, previous, modifiche legislativo, modello unico, unico dichiarazione, gestori ambientali, dichiarazione ambientale;True;en, it;;;;https://www.youtube.com/watch?v=ssBaato76t8&t=65s;;
04375350289;SEDE;IMPRESA INDIVIDUALE;;08/06/2009;BURCA MARIAN;35010;BORGORICCO;0-2;; REALIZZAZIONE DI COPERTURE(DAL 10/04/2009);43.91;Lavori di costruzione specializzati;VIA FRATTINA, 21/7, 35010 BORGORICCO PD;;;;;;;;;;
