Partita_IVA;Sede_o_UL;Forma_giuridica;Email;Data_iscrizione;Denominazione;Cap;Comune;Classe_addetti;Telefono;Attivita'_dichiarata;Codice_ateco_principale;Settore_livello_2;Indirizzo_corretto;URL;Keys;Has_contact_form;Available_translations;Facebook;Twitter;Linkedin;Youtube;Pinterest;Instagram
04933250286;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;26/10/2015;3M SRL - IN LIQUIDAZIONE;35010;BORGORICCO;0-2;;FABBRICAZIONE DI ARTICOLI DA VIAGGIO IN GENERE, LAVORAZIONE DI ARTICOLI IN PELLE, CUOIO E SIMILI, PELLETTERIA E SELLERIA ED ACCESSORI D'ABBIGLIAMENTO;15.12.09;Industrie tessili e di abbigliamento;VIA S. LEONARDO, 33/A, 35010 BORGORICCO PD;;;;;;;;;;
03759650280;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;03/10/2002;4V COATINGS SRL;35010;BORGORICCO;3-9;;;20.3;Industrie chimiche, plastiche e farmaceutiche;VIA DESMAN, 193/A, 35010 BORGORICCO PD;https://www.4v-coatings.it/;linea, solvente, acqua, primer, finiture, voc, basso, complementari, prodotti, plastiche, preparatori, legno, minerali, superfici, operativi, pre, trattamenti, diluenti, additivi, metalli, lucido, cementizi, complemetari, trasparenti, impregnanti, linea acqua, linea solvente, basso voc, linea basso, primer preparatori;False;it;;;;;;
03759650280;UL;SOCIETA' A RESPONSABILITA' LIMITATA;;25/07/2003;4V COATINGS SRL;35010;BORGORICCO;3-9;;PRODUZIONE DI SMALTI, VERNICI E IDROPITTURE PER L'INDUSTRIA E L'EDILIZIA, COMMERCIO ALL'INGROSSO DI SMALTI, VERNICI E DI ATTREZZATURA PER LA VERNICIATURA (DAL 25/07/2003);20.3;Industrie chimiche, plastiche e farmaceutiche;VIA S. LEONARDO, 25, 35010 BORGORICCO PD;https://www.4v-coatings.it/;linea, solvente, acqua, primer, finiture, voc, basso, complementari, prodotti, plastiche, preparatori, legno, minerali, superfici, operativi, pre, trattamenti, diluenti, additivi, metalli, lucido, cementizi, complemetari, trasparenti, impregnanti, linea acqua, linea solvente, basso voc, linea basso, primer preparatori;False;it;;;;;;
00831110283;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA CON UNICO SOCIO;;28/02/1979;A. PIOVAN S.R.L.;35100;BORGORICCO;10-49;049/9335733;LAVORAZIONE PLASTICA, GOMMA, TESSUTI (ARTICOLI TECNICI) (DAL 01/08/1993);22.2;Industrie chimiche, plastiche e farmaceutiche;VIA DELL'INDUSTRIA, 21, 35100 BORGORICCO PD;https://www.apiovan.it/;cilindri, manicotti, rivestimento, sanfor, gomma, piovan, necessari, strettamente, manicotto, metallo, poliuretano, tessile, prodotti, conciario, siderurgico, packaging, sanforizzazione, cartario, alimentare, legno, cinghie, vetro, tessuto, nastri, trasportatori, rivestimento cilindri, strettamente necessari, cilindri metallo, cilindri gomma, nastri trasportatori;True;de, en, ru, it;;;https://www.linkedin.com/company/a-piovan-srl/;;;
00831110283;UL;SOCIETA' A RESPONSABILITA' LIMITATA CON UNICO SOCIO;;28/02/1979;A. PIOVAN S.R.L.;35010;VILLANOVA DI CAMPOSAMPIERO;10-49;049/9335733;;22.2;Industrie chimiche, plastiche e farmaceutiche;PIAZZA MERCATO, 46, 35010 VILLANOVA DI CAMPOSAMPIERO PD;https://www.apiovan.it/;cilindri, manicotti, rivestimento, sanfor, gomma, piovan, necessari, strettamente, manicotto, metallo, poliuretano, tessile, prodotti, conciario, siderurgico, packaging, sanforizzazione, cartario, alimentare, legno, cinghie, vetro, tessuto, nastri, trasportatori, rivestimento cilindri, strettamente necessari, cilindri metallo, cilindri gomma, nastri trasportatori;True;de, en, ru, it;;;https://www.linkedin.com/company/a-piovan-srl/;;;
04924270285;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;;15/09/2015;A6 SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;35010;SANTA GIUSTINA IN COLLE;0-2;;STAMPA SERIGRAFICA SU QUALSIASI SUPPORTO- SERIGRAFIA LASER E METALLI;18.12;Industrie del legno, dell'arredo e della carta;VIA OLMO, 12, 35010 SANTA GIUSTINA IN COLLE PD;;;;;;;;;;
04924270285;UL;SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;;20/11/2017;A6 SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;35010;BORGORICCO;0-2;;ALTRA STAMPA ULTERIORI SPECIFICHE: STAMPA DI LIBRI E OPUSCOLI, SPARTITI E MANOSCRITTI DI MUSICA, MAPPE, ATLANTI, MANIFESTI, CATALOGHI, PROSPETTI ED ALTRI STAMPATI PUBBLICITARI, FRANCOBOLLI, MARCHE DA BOLLO, TITOLI RAPPRESENTATIVI, ASSEGNI ED ALTRA CARTA VALORI, SMART CARDS, ALBUM, AGENDE, CALENDARI ED ALTRI STAMPATI COMMERCIALI, CARTA DA LETTERE CON INTESTAZIONE PERSONALE ED ALTRO MATERIALE STAMPATO TRAMITE STAMPA TIPOGRAFICA, OFFSET, ROTOCALCOGRAFIA, FLESSOGRAFIA, SERIGRAFIA ED ALTRE MACCHINE DA STAMPA, MACCHINE DUPLICATRICI, STAMPANTI ELETTRONICHE, GOFFRATRICI ECCETERA (DAL 20.11.2017);18.12;Industrie del legno, dell'arredo e della carta;VIA DESMAN, 74, 35010 BORGORICCO PD;;;;;;;;;;
01396110288;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;12/10/1987;AGEI ENERGY S.R.L.;35010;BORGORICCO;0-2;049/9200246;L'ASSISTENZA TECNICA A GRUPPI ELETTROGENI,LA RIPARAZIONE DI COMPRESSORI D'ARIA E IL NOLEGGIO DEGLI STESSI (DAL 31.8.1987), INSTALLAZIONE DI IMPIANTI ELETTRICI (DAL 21.11.1995), COMMERCIO ALL'INGROSSO E MANUTENZIONE DI MACCHINE PER L'INDUSTRIA, GRUPPI ELETTROGENI E COMPRESSORI (DAL 01/12/2003).;33.14;Industrie meccaniche, metallurgiche ed elettroniche;VIA GALILEO GALILEI, 10, 35010 BORGORICCO PD;http://www.ageienergy.it/;gruppi, elettrogeni, compressori, ageienergy, agei, energy, aria, padova, venezia, manutenzione, noleggio, grado, treviso, friuli, giulia, riparazione, elettrica, elettrogeno, concerne, veneto, troverete, qualit, poter, necessit, impianti, gruppi elettrogeni, agei energy, compressori aria, elettrogeni compressori, venezia giulia;;it;;;;;;
01396110288;UL;SOCIETA' A RESPONSABILITA' LIMITATA;;01/01/2012;AGEI ENERGY S.R.L.;35011;CAMPODARSEGO;0-2;;INSTALLAZIONE DI MOTORI, GENERATORI, TRASFOMATORI ELETTRICI (DAL 01/01/2012);33.20.01;Industrie meccaniche, metallurgiche ed elettroniche;VIA CALTANA, 133, 35011 CAMPODARSEGO PD;http://www.ageienergy.it/;gruppi, elettrogeni, compressori, ageienergy, agei, energy, aria, padova, venezia, manutenzione, noleggio, grado, treviso, friuli, giulia, riparazione, elettrica, elettrogeno, concerne, veneto, troverete, qualit, poter, necessit, impianti, gruppi elettrogeni, agei energy, compressori aria, elettrogeni compressori, venezia giulia;;it;;;;;;
04994970285;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;01/07/2016;AGOPLAST S.R.L.;35010;BORGORICCO;10-49;;STAMPAGGIO AD INIEZIONE DI MATERIE PLASTICHE (DAL 01.07.2016);22.29.09;Industrie chimiche, plastiche e farmaceutiche;VIA DELL'INDUSTRIA, 11, 35010 BORGORICCO PD;http://www.agoplast.it/;agoplast, rocchetti, terms, borgoricco, assist, marchi, fiscale, produced, codice, settore, fonti, terzi, competente, amministratori, accessi, scritto, dovesse, domande, controversia, medesimi, parti, dovranno, insorgere, saldatura, appartenenti, produced assist, codice fiscale, commenti inerenti, controversia dovesse, assist terzi;True;en, es, it;;;;;;
