Partita_IVA;Sede_o_UL;Forma_giuridica;Email;Data_iscrizione;Denominazione;Cap;Comune;Classe_addetti;Telefono;Attivita'_dichiarata;Codice_ateco_principale;Settore_livello_2;Indirizzo_corretto;URL;Keys;Has_contact_form;Available_translations;Facebook;Twitter;Linkedin;Youtube;Pinterest;Instagram
03451980282;SEDE;IMPRESA INDIVIDUALE;;09/02/2000;ARTESTETICA DI ROSSI EMANUELA;35010;BORGORICCO;0-2;049/9335266; ESTETISTA (DAL 21/12/1999).;96.02.02;Altre attività di servizi;VIALE EUROPA, 1/B, 35010 BORGORICCO PD;;;;;;;;;;
03768040283;SEDE;ASSOCIAZIONE;;13/02/2003;ASSOCIAZIONE UMPALUMPA - LA FABBRICA DEI GIOCHI ONLUS;35010;BORGORICCO;;; PROMOZIONE INTERVENTI DIDATTICO-EDUCATIVI CON BAMBINI, ADOLESCENTI ED ADULTI (DAL 03.02.2003);88;Sanità e assistenza sociale;VIA LUSORE, 15, 35010 BORGORICCO PD;;;;;;;;;;
05316290286;SEDE;IMPRESA INDIVIDUALE;;02/10/2020;AURA BEAUTY DI AURA ILIE;35010;BORGORICCO;0-2;;SERVIZI DEGLI ISTITUTI DI BELLEZZA;96.02.02;Altre attività di servizi;VIA CASTELLARO, 5, 35010 BORGORICCO PD;;;;;;;;;;
04441220284;SEDE;SOCIETA' IN NOME COLLETTIVO;;21/01/2010;B. & E. S.N.C. DI PEDRON BARBARA E PIEROPAN ELENA;35010;BORGORICCO;3-9;;ACCONCIATORE UOMO DONNA (DAL 12/03/2010);96.02.01;Altre attività di servizi;VIA DESMAN, 426, 35010 BORGORICCO PD;;;;;;;;;;
04575040284;SEDE;IMPRESA INDIVIDUALE;;20/06/2011;BERNARDO ANTONELLA;35010;BORGORICCO;0-2;;PENSIONE PER ANIMALI DA COMPAGNIA - GATTI, CRICETI, PAPPAGALLI, FURETTI AD ECCEZIONE DI CANI;96.09.04;Altre attività di servizi;VIA LOVARA, 2, 35010 BORGORICCO PD;;;;;;;;;;
04066930282;SEDE;IMPRESA INDIVIDUALE;;13/02/2006;BI PARRUCCHIERI DI BOSELLO BARBARA;35010;BORGORICCO;3-9;; PARRUCCHIERA U/D (DAL 24.01.2006);96.02.01;Altre attività di servizi;VIA ROMA, 51/A, 35010 BORGORICCO PD;;;;;;;;;;
04957310289;SEDE;IMPRESA INDIVIDUALE;;01/02/2016;BLACK & GOLD DI MANOLA FASOLO;35010;BORGORICCO;0-2;;SERVIZI DEI SALONI DI BARBIERE E PARRUCCHIERE;96.02.01;Altre attività di servizi;VIA DANDOLO, 13, 35010 BORGORICCO PD;;;;;;;;;;
00354670283;SEDE;SOCIETA' IN ACCOMANDITA SEMPLICE;;16/08/1956;CAMPORESE ONORANZE FUNEBRI S.A.S. DI CAMPORESE LIDIO & C.;35010;BORGORICCO;3-9;049/5798011;IMPRESA POMPE FUNEBRI (DAL 2.7.1970), LAVORI CIMITERIALI (POSA IN OPERA LAPIDI E RELATIVI ACCESSORI) (DAL 6.4.1989).;96.03;Altre attività di servizi;VIA ROMA, 38, 35010 BORGORICCO PD;;;;;;;;;;
00354670283;UL;SOCIETA' IN ACCOMANDITA SEMPLICE;;16/08/1956;CAMPORESE ONORANZE FUNEBRI S.A.S. DI CAMPORESE LIDIO & C.;35012;CAMPOSAMPIERO;3-9;049/04975790152;IMPRESA ONORANZE FUNEBRI (DAL 15.4.1971).;96.03;Altre attività di servizi;PIAZZA CASTELLO, 10, 35012 CAMPOSAMPIERO PD;;;;;;;;;;
05341260288;SEDE;IMPRESA INDIVIDUALE;;25/01/2021;CARRARO MATTIA;35010;BORGORICCO;0-2;;RIPARAZIONE DI ARTICOLI PER IL GIARDINAGGIO;95.22.02;Altre attività di servizi;VIA SAN LEONARDO, 29/B, 35010 BORGORICCO PD;;;;;;;;;;
04908300280;SEDE;SOCIETA' A RESPONSABILITA' LIMITATA;;17/06/2015;CENTRO MEDICO ODONTOIATRICO AMATO SRL;35010;BORGORICCO;10-49;;SERVIZIO DEGLI STUDI ODONTOIATRICI;86.22.09;Sanità e assistenza sociale;VIA ROMA, 73, 35010 BORGORICCO PD;;;;;;;;;;
05103240288;SEDE;IMPRESA INDIVIDUALE;INFO@C-PROCESS.COM;02/02/2018;C-PROCESS DI PERIN VALENTINO;35010;BORGORICCO;0-2;049/7967380;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI COMPUTER E PERIFERICHE, ASSISTENZA IN MATERIA INFORMATICA E L'INSTALLAZIONE E LA MANUTENZIONE DI COMPONENTI HARDWARE E SOFTWARE;95.11;Altre attività di servizi;VIA TIZIANO, 7, 35010 BORGORICCO PD;https://www.c-process.com/;progettazione, teleassistenza, consulenza, informatica, remota, controllo, borgoricco, maps, tiziano, process, reti, locali, informatiche, perin, valentino, trattamento, cloud, remoto, rete, laboratorio, integrazione, supportato, designed, modificando, register, progettazione consulenza, consulenza informatica, process perin, perin valentino, progettazione reti;False;it;https://www.facebook.com/wwwc-processcom-255546668141145;;;;;
04161030285;SEDE;IMPRESA INDIVIDUALE;;25/01/2007;DALCEO PARRUCCHIERI DI RIZZO MASSIMO;35010;BORGORICCO;0-2;; ACCONCIATORE PER SIGNORA (DAL 30.01.2007);96.02.01;Altre attività di servizi;VIA DELLA PIEVE, 34, 35010 BORGORICCO PD;;;;;;;;;;
