id;Progressivo;Provincia_N_REA;N_REA;Codice_fiscale;Partita_IVA;Sede_o_UL;Progressivo_loc;N_Albo_Artigiani;Codici_sezioni_RI;Sezioni_RI;Codice_forma_giuridica;Forma_giuridica;Sito_internet;Email;Data_iscrizione;Data_cancellazione;Data_chiusura_ultimo_protocollo;Denominazione;Codice_toponimo;Toponimo;Via;N_civico;Codice_stradario;Cap;Codice_comune_catastale;Codice_comune_camerale;Comune;Sigla_provincia_istat;Provincia_istat;Sigla_provincia_camerale;Frazione;Altre_indicazioni;Codice_stato_estero;Stato_estero;Anno_dichiarazione_addetti;Addetti_indipendenti;Addetti_dipendenti;Classe_addetti;Telefono;Capitale;Valuta;Attivita'_dichiarata;Codici_ateco_e_importanza;Codice_ateco_principale;Settore_livello_1;Settore_livello_2;Codice_stato_impresa_o_attivita';Stato_impresa_o_attivita';Data_ultimo_bilancio_XBRL;Valore_produzione;Ricavi;Utile_o_perdite;Flag;Indirizzo;Indirizzo_corretto;Latitude;Longitude;PI;Name;URL;Index;company_file_name;Keys;Title_and_description;Logo;Link_to_contacts;Link_to_products;Link_to_certifications;Link_to_trading_information;Phones_list;emails_list;Has_contact_form;Certifications_list;Available_translations;Countries_relationships;Home_page_images_(all);Contacts_page_images_(filtered);Products_page_images_(filtered);Trading_page_images_(filtered);Videos;Tracking;CMS;Framework;JS_library;Favicon;Language;Sitemap;Facebook;Twitter;Linkedin;Flickr;Youtube;Pinterest;Instagram;Slideshare;Foursquare;Warnings;Index2
6;;;;;02364470282;SEDE;;;;;;SOCIETA' IN ACCOMANDITA SEMPLICE;;;03/04/1990;;;4 B S.A.S. DI BECCEGATO L. & C.;;;;;;35010;;;BORGORICCO;;;;;;;;;;;10-49;0423/480077;;;;;47.11.2;Commercio;Commercio al dettaglio in esercizi non specializzati (supermercati e grandi magazzini);;Registrata Attiva;;;;;;;VIA STRAELLE, 107, 35010 BORGORICCO PD;45.5572692;11.9654023;02364470282;4 B S.A.S. DI BECCEGATO L. & C.;;0;-6-02364470282.bz2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;;;;02364470282;UL;;;;;;SOCIETA' IN ACCOMANDITA SEMPLICE;;;27/11/1995;;;4 B S.A.S. DI BECCEGATO L. & C.;;;;;;35010;;;MASSANZAGO;;;;;;;;;;;10-49;049/9360140;;;COMMERCIO AL DETTAGLIO DI PRODOTTI ALIMENTARI, COMPRESO ERBORISTERIA E DROGHERIA (DAL 27/11/1995);;47.11.2;Commercio;Commercio al dettaglio in esercizi non specializzati (supermercati e grandi magazzini);;Registrata Attiva;;;;;;;VIA ROMA, 80, 35010 MASSANZAGO PD;45.5559514;12.0023969;02364470282;4 B S.A.S. DI BECCEGATO L. & C.;;0;-7-02364470282.bz2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;;;;;04460450283;SEDE;;;;;;SOCIETA' A RESPONSABILITA' LIMITATA;;;03/03/2010;;;5M SRL - IN  LIQUIDAZIONE;;;;;;35010;;;BORGORICCO;;;;;;;;;;;3-9;;;;COMMERCIO ALL'INGROSSO DI ARTICOLI DI PELLETTERIA E DA VIAGGIO;;46.49.5;Commercio;Altre attività di commercio all'ingrosso;;Registrata Attiva;;;;;;;VIA DELLA PIEVE, 75/A, 35010 BORGORICCO PD;45.537379;11.995279;04460450283;5M SRL - IN  LIQUIDAZIONE;;0;-11-04460450283.bz2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;;;;;01353220286;SEDE;;;;;;SOCIETA' A RESPONSABILITA' LIMITATA;;;11/05/1987;;;AGRICOLA CARRARO S.R.L.;;;;;;35010;;;BORGORICCO;;;;;;;;;;;0-2;041/442300;;;COMMERCIO ALL'INGROSSO DI CEREALI NON DESTINATI ALL'ALIMENTAZIONE UMANA (DAL 01/11/2004);;46.21;Commercio;Altre attività di commercio all'ingrosso;;Registrata Attiva;;;;;;;VIA LOVARA, 80, 35010 BORGORICCO PD;45.5504568;11.967705;01353220286;AGRICOLA CARRARO S.R.L.;;0;-32-01353220286.bz2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;;;;;01011270285;SEDE;;;;;;SOCIETA' A RESPONSABILITA' LIMITATA;;;06/11/1981;;;AGRILUCE S.R.L.;;;;;;35010;;;BORGORICCO;;;;;;;;;;;3-9;049/9301655;;;COMMERCIO ALL'INGROSSO DI PRODOTTI ALIMENTARI (DAL 11.6.2001);;46.32.1;Commercio;Altre attività di commercio all'ingrosso;;Registrata Attiva;;;;;;;VIA STRAELLE, 43, 35010 BORGORICCO PD;45.55685649999999;11.9678055;01011270285;AGRILUCE S.R.L.;http://www.agriluce.com/;1;-33-01011270285.bz2;prodotti, agriluce, carni, impegno, secchi, mense, giochi, ricette, principale, bianche, pollo, profilo, condimenti, pasta, primi, pesce, rosse, surgelato, riso, formaggi, salumi, verdure, scatolame, surgelate, ristorazione, carni bianche, pesce surgelato, scatolame prodotti, verdure surgelate, pasta riso;www.agriluce.it  PRODOTTI PER LA RISTORAZIONE FRESCHI REFRIGERATI CONGELATISURGELATI E SECCHI;;;http://www.agriluce.com/prodotti;;;;;;;it;;;;;;;;Drupal;;JQuery;True;it;;;;;;;;;;;PIVA correct: Agriluce s.r.l.- Borgoricco (PD) - P.iva 01011270285 ||;2
35;;;;;05249300285;SEDE;;;;;;IMPRESA INDIVIDUALE;;;31/10/2019;;;AL GROUP DI LONGO ANDREA;;;;;;35010;;;BORGORICCO;;;;;;;;;;;0-2;;;;COMMERCIO AL DETTAGLIO DI ACCESSORI CUCINA,  ACCESSORI MODA, OGGETTI PER LA CASA, ACCESSORI GIARDINO, ACCESSORI AUTO, EFFETTUATO VIA INTERNET;;47.91.1;Commercio;Altre attività di commercio al dettaglio;;Registrata Attiva;;;;;;;VIA CORSO ITALIA, 12/2, 35010 BORGORICCO PD;45.5326587;11.9692965;05249300285;AL GROUP DI LONGO ANDREA;;0;-35-05249300285.bz2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;;;;;00348980285;UL;;;;;;SOCIETA' PER AZIONI CON SOCIO UNICO;;INFO@ALISPA.COM;10/10/1973;;;ALI' S.P.A.;;;;;;35011;;;CAMPODARSEGO;;;;;;;;;;;250+;049/5566420;;;COMMERCIO AL MINUTO GENERI ALIMENTARI (DAL 27.11.1986), VENDITA AL MINUTO DI PERIODICI (DAL 18/11/2005);;47.11.2;Commercio;Commercio al dettaglio in esercizi non specializzati (supermercati e grandi magazzini);;Registrata Attiva;;;;;;;VIA ANTONIANA, 126/A, 35011 CAMPODARSEGO PD;45.4931812;11.9045841;00348980285;ALI' S.P.A.;https://www.alisupermercati.it/;0.63;-37-00348980285.bz2;veneto, padova, punti, negozi, fattura, modello, offerte, prodotti, lotteria, love, ricette, nature, gratis, euro, scontrini, numero, prenota, unico, produttori, entra, legali, libri, organizzazione, candidati, magazine, padova veneto, love nature, lotteria scontrini, socio unico, prenota libri;Alí Supermercati  Alíper Ipermercati;https://alisupermercati.ojcdn.it/images/logo_print.png;https://www.alisupermercati.it/contatti;https://www.alisupermercati.it/catalogo-premi , https://www.alisupermercati.it/prodotti/la-tua-cucina-sempre-piu-green , https://www.alisupermercati.it/prodotti/prodotti-locali , https://www.alisupermercati.it/catalogo-premi/2021-dona-un-albero-all-ambiente , https://www.alisupermercati.it/catalogo-premi/2021-kit-natura-e-bellezza-saponificio-aquaviva , https://www.alisupermercati.it/catalogo-premi/2021-telo-bagno-spugna-bio-cotton-grigio , https://www.alisupermercati.it/catalogo-premi/2021-kit-6-pezzi-allenamento-palestra-atlantis , https://www.alisupermercati.it/catalogo-premi/2021-voucher-city-e-gallery-boscolo , https://www.alisupermercati.it/catalogo-premi/2021-piano-cottura-ad-induzione-caso , https://www.alisupermercati.it/catalogo-premi/2021-bici-bimbo-16-con-rotelle-magikbike , https://www.alisupermercati.it/catalogo-premi/2021-bottiglia-in-vetro-riciclato-wild-liberta , https://www.alisupermercati.it/catalogo-premi/2021-altoparlante-bici-autovox , https://www.alisupermercati.it/catalogo-premi/2021-voucher-per-borghi-e-dintorni-boscolo , https://www.alisupermercati.it/catalogo-premi/2021-ellittica-crosstrainer-get-fit , https://www.alisupermercati.it/catalogo-premi/2021-tovaglia-per-6-persone-seaqual-alore-casa , https://www.alisupermercati.it/catalogo-premi/2021-serra-ecologica-green-farm , https://www.alisupermercati.it/catalogo-premi/2021-bastoncini-trekking-summit-poles , https://www.alisupermercati.it/catalogo-premi/2021-vogatore-get-fit , https://www.alisupermercati.it/catalogo-premi/2021-buono-regalo-spotify-premium , https://www.alisupermercati.it/catalogo-premi/2021-tapis-roulant-elettrico-get-fit , https://www.alisupermercati.it/catalogo-premi/2021-giardino-pensile-verticale-lupia , https://www.alisupermercati.it/catalogo-premi/2021-set-3-contenitori-quadrati-biesse , https://www.alisupermercati.it/catalogo-premi/2021-lasagnera-mopita , https://www.alisupermercati.it/catalogo-premi/2021-carta-regalo-chili;;;[IT] (+39) 06.69677.1, [IT?] 049 8692211 -, [IT?] 049 8775811, [IT] (+39) 06.69677.3785;maddalena.valli@ordineavvocatipadova.it, maddalena.valli@legalitax.it, dpo@alispa.com, garante@gpdp.it, privacy@alispa.com;True;;tl, en, it;;;;;;;;;;JQuery;True;it;;https://it-it.facebook.com/alisupermercati;http://twitter.com/alisupermercati;https://www.linkedin.com/company/alisupermercati;;https://www.youtube.com/alisupermercati;;https://www.instagram.com/alisupermercati;;;PIVA correct: Numero Iscrizione Reg. Imprese di Padova 00348980285|i personali è  Alì S.p.A.  (C.F. e P.IVA 00348980285) ||;2
38;;;;;00348980285;UL;;;;;;SOCIETA' PER AZIONI CON SOCIO UNICO;;INFO@ALISPA.COM;08/06/1995;;;ALI' S.P.A.;;;;;;35010;;;BORGORICCO;;;;;;;;;;;250+;;;;COMMERCIO AL MINUTO DI GENERI ALIMENTARI (DAL 08.06.1995);;47.11.2;Commercio;Commercio al dettaglio in esercizi non specializzati (supermercati e grandi magazzini);;Registrata Attiva;;;;;;;VIA ROMA, 51, 35010 BORGORICCO PD;45.5295756;11.9639356;00348980285;ALI' S.P.A.;https://www.alisupermercati.it/;0.63;-38-00348980285.bz2;veneto, padova, punti, negozi, fattura, modello, offerte, love, prodotti, lotteria, nature, ricette, gratis, scontrini, prenota, euro, unico, entra, numero, produttori, magazine, socio, organizzazione, esercizio, legali, padova veneto, love nature, lotteria scontrini, negozi offerte, modello esercizio;Alí Supermercati  Alíper Ipermercati;https://alisupermercati.ojcdn.it/images/logo_print.png;https://www.alisupermercati.it/contatti;https://www.alisupermercati.it/catalogo-premi , https://www.alisupermercati.it/prodotti/la-tua-cucina-sempre-piu-green , https://www.alisupermercati.it/prodotti/prodotti-locali , https://www.alisupermercati.it/catalogo-premi/2021-dona-un-albero-all-ambiente , https://www.alisupermercati.it/catalogo-premi/2021-carta-regalo-unieuro , https://www.alisupermercati.it/catalogo-premi/2021-voucher-arti-e-mestieri-boscolo , https://www.alisupermercati.it/catalogo-premi/2021-xbox-game-pass-ultimate-1-mese , https://www.alisupermercati.it/catalogo-premi/2021-gioco-domino-gigante-bs , https://www.alisupermercati.it/catalogo-premi/2021-telo-bagno-spugna-bio-cotton-grigio , https://www.alisupermercati.it/catalogo-premi/2021-sacchetto-porta-pane-wd-lifestyle , https://www.alisupermercati.it/catalogo-premi/2021-contenitore-refrigerante-polarbox-lilla , https://www.alisupermercati.it/catalogo-premi/2021-voucher-fughe-amore-boscolo , https://www.alisupermercati.it/catalogo-premi/2021-set-3-contenitori-rotondi-biesse , https://www.alisupermercati.it/catalogo-premi/2021-ingresso-gardaland-park-2022 , https://www.alisupermercati.it/catalogo-premi/2021-pompa-elettrica-portatile-ksix , https://www.alisupermercati.it/catalogo-premi/2021-voucher-parchi-e-riserve-boscolo , https://www.alisupermercati.it/catalogo-premi/2021-ingresso-caribe-bay-2022 , https://www.alisupermercati.it/catalogo-premi/2021-federa-wwf-le-vie-del-cotone-ambiente , https://www.alisupermercati.it/catalogo-premi/2021-set-cacciavite-con-24-punte , https://www.alisupermercati.it/catalogo-premi/2021-voucher-city-e-gallery-boscolo , https://www.alisupermercati.it/catalogo-premi/2021-bottiglia-in-vetro-riciclato-wild-marinaio , https://www.alisupermercati.it/catalogo-premi/2021-contenitore-refrigerante-polarbox-verde-acqua , https://www.alisupermercati.it/catalogo-premi/2021-webcam-hd-microsoft , https://www.alisupermercati.it/catalogo-premi/2021-voucher-fascino-del-sud-boscolo;;;[IT] (+39) 06.69677.1, [IT?] 049 8692211 -, [IT?] 049 8775811, [IT] (+39) 06.69677.3785;maddalena.valli@legalitax.it, maddalena.valli@ordineavvocatipadova.it, dpo@alispa.com, garante@gpdp.it, privacy@alispa.com;True;;tl, en, it;;;;;;;;;;JQuery;True;it;;https://it-it.facebook.com/alisupermercati;http://twitter.com/alisupermercati;https://www.linkedin.com/company/alisupermercati;;https://www.youtube.com/alisupermercati;;https://www.instagram.com/alisupermercati;;;PIVA correct: Numero Iscrizione Reg. Imprese di Padova 00348980285|i personali è  Alì S.p.A.  (C.F. e P.IVA 00348980285) ||;2
39;;;;;00348980285;UL;;;;;;SOCIETA' PER AZIONI CON SOCIO UNICO;;INFO@ALISPA.COM;20/01/2000;;;ALI' S.P.A.;;;;;;35010;;;MASSANZAGO;;;;;;;;;;;250+;;;;COMMERCIO AL DETTAGLIO DI PRODOTTI ALIMENTARI E NON (DAL 20/01/2000);;47.11.4;Commercio;Commercio al dettaglio in esercizi non specializzati (supermercati e grandi magazzini);;Registrata Attiva;;;;;;;VIA ROMA, 31, 35010 MASSANZAGO PD;45.5548693;12.0085512;00348980285;ALI' S.P.A.;https://www.alisupermercati.it/;0.63;-39-00348980285.bz2;veneto, padova, punti, negozi, fattura, modello, offerte, lotteria, prodotti, love, nature, ricette, gratis, scontrini, euro, unico, produttori, prenota, numero, entra, esercizio, libri, magazine, candidati, socio, padova veneto, love nature, lotteria scontrini, modello esercizio, unico euro;Alí Supermercati  Alíper Ipermercati;https://alisupermercati.ojcdn.it/images/logo_print.png;https://www.alisupermercati.it/contatti;https://www.alisupermercati.it/catalogo-premi , https://www.alisupermercati.it/prodotti/la-tua-cucina-sempre-piu-green , https://www.alisupermercati.it/prodotti/prodotti-locali , https://www.alisupermercati.it/catalogo-premi/2021-dona-un-albero-all-ambiente , https://www.alisupermercati.it/catalogo-premi/2021-completo-letto-matrimoniale-grigio-la-belle-maison , https://www.alisupermercati.it/catalogo-premi/2021-contenitore-refrigerante-polarbox-lilla , https://www.alisupermercati.it/catalogo-premi/2021-guanciale-in-lattice-naturale-la-belle-maison , https://www.alisupermercati.it/catalogo-premi/2021-cuffie-con-microfono-microsoft , https://www.alisupermercati.it/catalogo-premi/2021-voucher-excellent-day-spa-boscolo , https://www.alisupermercati.it/catalogo-premi/2021-gioco-domino-gigante-bs , https://www.alisupermercati.it/catalogo-premi/2021-voucher-fughe-amore-boscolo , https://www.alisupermercati.it/catalogo-premi/2021-olio-extra-vergine-di-oliva-pog-2-litri , https://www.alisupermercati.it/catalogo-premi/2021-lampada-led-con-altoparlante-autovox , https://www.alisupermercati.it/catalogo-premi/2021-borsone-sport-puma , https://www.alisupermercati.it/catalogo-premi/2021-piano-cottura-ad-induzione-caso , https://www.alisupermercati.it/catalogo-premi/2021-bollitore-elettrico-pininfarina-imetec , https://www.alisupermercati.it/catalogo-premi/2021-contenitore-refrigerante-polarbox-verde-acqua , https://www.alisupermercati.it/catalogo-premi/2021-bici-triciclo-2-in-1-proludis-giocattoli , https://www.alisupermercati.it/catalogo-premi/2021-canestro-da-basket-odg , https://www.alisupermercati.it/catalogo-premi/2021-power-bank-solare , https://www.alisupermercati.it/catalogo-premi/2021-cofanetto-harry-potter-8-film-gioco , https://www.alisupermercati.it/catalogo-premi/2021-borsa-termica-wd-lifestyle , https://www.alisupermercati.it/catalogo-premi/2021-ingresso-caribbean-golf-jesolo , https://www.alisupermercati.it/catalogo-premi/2021-pompa-elettrica-portatile-ksix;;;[IT?] 049 8775811, [IT?] 049 8692211 -, [IT] (+39) 06.69677.1, [IT] (+39) 06.69677.3785;maddalena.valli@ordineavvocatipadova.it, maddalena.valli@legalitax.it, dpo@alispa.com, garante@gpdp.it, privacy@alispa.com;True;;tl, en, it;;;;;;;;;;JQuery;True;it;;https://it-it.facebook.com/alisupermercati;http://twitter.com/alisupermercati;https://www.linkedin.com/company/alisupermercati;;https://www.youtube.com/alisupermercati;;https://www.instagram.com/alisupermercati;;;PIVA correct: Numero Iscrizione Reg. Imprese di Padova 00348980285|i personali è  Alì S.p.A.  (C.F. e P.IVA 00348980285) ||;2
67;;;;;04100970286;SEDE;;;;;;SOCIETA' A RESPONSABILITA' LIMITATA CON UNICO SOCIO;;;04/04/2006;;;B & G S.R.L.;;;;;;35010;;;BORGORICCO;;;;;;;;;;;0-2;;;;COMMERCIO ALL'INGROSSO DI PRODOTTI SIDERURGICI E METALI IN GENERE (DAL 12.01.2007);;46.72.1;Commercio;Altre attività di commercio all'ingrosso;;Registrata Attiva;;;;;;;VIA MOMETTO, 10, 35010 BORGORICCO PD;45.5365472;11.9407885;04100970286;B & G S.R.L.;;0;-67-04100970286.bz2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
